Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.8822%,11970,10149082,10161052,6934784,4357,7613,3214298
0x91614b,96.1451%,4390,109490,113880,51830,2405,1985,57660
0x162634e,99.1426%,1014,117246,118260,29290,575,439,87956
0x1626359,99.5249%,420,87975,88395,43297,194,226,44678
0x1626664,99.7742%,267,117993,118260,47337,136,131,70656
0x4f9b7c,97.0833%,189,6291,6480,6240,0,189,51
0xf2f79c,97.0128%,187,6073,6260,6028,0,187,45
0x8defc2,97.7549%,177,7707,7884,1621,71,106,6086
0x91585d,96.2963%,174,4524,4698,4524,0,174,0
0x507935,97.334%,167,6097,6264,6032,0,167,65
0x50832e,97.716%,148,6332,6480,6240,0,148,92
0xf2f571,96.8497%,148,4550,4698,4524,0,148,26
0xf2fd89,97.8086%,142,6338,6480,6240,0,142,98
0x4f9894,97.5347%,142,5618,5760,5520,0,142,98
0x916155,99.9069%,106,113774,113880,113658,35,71,116
0x507487,98.5522%,86,5854,5940,5720,0,86,134
0x8ded3c,98.9726%,81,7803,7884,3981,59,22,3822
0x50898b,98.8735%,73,6407,6480,6239,1,72,168
0x8df243,98.8985%,69,6195,6264,5730,30,39,465
0x9160af,99.9403%,68,113812,113880,113801,18,50,11
0x5123f4,96.6007%,67,1904,1971,468,31,36,1436
0x8ded74,99.1629%,66,7818,7884,7759,17,49,59
0x8df4d0,98.9464%,66,6198,6264,1646,26,40,4552
0x93695b,96.1749%,63,1584,1647,1584,2,61,0
0x936bfd,96.25%,63,1617,1680,1617,3,60,0
0x92d0fa,96.1111%,63,1557,1620,1557,3,60,0
0x51c87b,96.1728%,62,1558,1620,1558,2,60,0
0x91b6e8,96.0256%,62,1498,1560,1498,2,60,0
0x9308f8,96.1728%,62,1558,1620,1558,2,60,0
0x91a5a6,96.0256%,62,1498,1560,1498,2,60,0
0x916ff3,96.0256%,62,1498,1560,1498,2,60,0
0x51c573,95.7639%,61,1379,1440,1379,1,60,0
0x93669c,96.2346%,61,1559,1620,1558,2,59,1
0x518f28,96.1707%,61,1532,1593,1532,2,59,0
0x52ad0e,96.2963%,60,1560,1620,1559,1,59,1
0x8df004,99.239%,60,7824,7884,7770,6,54,54
0x50b113,95.7627%,60,1356,1416,1356,1,59,0
0x51889d,96.2335%,60,1533,1593,1533,1,59,0
0x91bbc9,96.2963%,60,1560,1620,1560,0,60,0
0x4ebabb,96.014%,57,1373,1430,1373,2,55,0
0x9238da,96.0114%,56,1348,1404,1348,2,54,0
0x9192f1,96.6729%,53,1540,1593,1532,2,51,8
0x52a9d4,96.9136%,50,1570,1620,417,23,27,1153
0x92faef,97.0988%,47,1573,1620,1558,2,45,15
0x4ed45c,97.1264%,45,1521,1566,1506,2,43,15
0x4f7b3c,97.4074%,42,1578,1620,1557,3,39,21
0x918ac4,97.3924%,40,1494,1534,1474,1,39,20
0x529dd7,97.5096%,39,1527,1566,1506,2,37,21
0x15d8015,91.7197%,39,432,471,252,14,25,180
0x4f6d45,97.6282%,37,1523,1560,1497,3,34,26
0x512986,97.8029%,35,1558,1593,1532,2,33,26
0x4deab3,97.6667%,35,1465,1500,1438,2,33,27
0x50b47c,97.8657%,34,1559,1593,1533,1,33,26
0x91b4e5,97.963%,33,1587,1620,1558,2,31,29
0x52aa06,98.0247%,32,1588,1620,1548,12,20,40
0x16744be,99.9794%,31,150775,150806,108413,12,19,42362
0x8df270,99.537%,29,6235,6264,6155,1,28,80
0x512153,98.5287%,29,1942,1971,1004,21,8,938
0x93324b,98.141%,29,1531,1560,1497,3,26,34
0x9289d7,98.2692%,27,1533,1560,1499,1,26,34
0x93312f,98.3333%,27,1593,1620,1558,2,25,35
0x46f721,99.9772%,27,118233,118260,116634,6,21,1599
0x92e31e,98.3333%,27,1593,1620,1558,2,25,35
0x91abf9,98.3951%,26,1594,1620,1559,1,25,35
0x901cf4,97.843%,25,1134,1159,1134,6,19,0
0x930f53,98.5428%,24,1623,1647,1584,2,22,39
0x51208f,98.545%,22,1490,1512,1454,2,20,36
0x91636a,98.5897%,22,1538,1560,1498,2,20,40
0x8e7354,98.3771%,21,1273,1294,1273,2,19,0
0x4ded1c,98.7179%,20,1540,1560,1498,2,18,42
0x512426,99.036%,19,1952,1971,1937,7,12,15
0x8e8544,96.3391%,19,500,519,500,0,19,0
0x901cd8,99.9445%,18,32434,32452,31290,3,15,1144
0x8e7343,99.9491%,18,35328,35346,34042,10,8,1286
0x8e88f4,96.3441%,17,448,465,448,0,17,0
0x8e7654,98.532%,17,1141,1158,1141,0,17,0
0x52a773,99.0741%,15,1605,1620,1517,7,8,88
