Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.9914%,4544,52719662,52724206,27284444,3667,877,25435218
0x4dde45,99.9646%,2651,7484132,7486783,6798956,2137,514,685176
0x59d4ea,99.9918%,807,9797540,9798347,9111968,688,119,685572
0x59ce6d,99.9087%,626,685064,685690,22,607,19,685042
0x7b31b5,98.5399%,74,4994,5068,4806,26,48,188
0x7b358e,82.9493%,37,180,217,171,12,25,9
0x7b337d,87.7358%,26,186,212,100,12,14,86
0x7b347d,99.5257%,23,4826,4849,12,10,13,4814
0x7b3597,44.1176%,19,15,34,11,6,13,4
0x7b3354,91.5556%,19,206,225,1,12,7,205
0x59d161,97.1429%,18,612,630,612,5,13,0
0x59d1ed,95.4286%,16,334,350,330,7,9,4
0x59d51a,99.9999%,14,9947533,9947547,9261846,10,4,685687
0x59d212,40%,12,8,20,4,6,6,4
0x7b303a,99.7822%,11,5039,5050,5038,5,6,1
0x7b3347,95.2991%,11,223,234,3,6,5,220
0x7bd81e,85.8974%,11,67,78,64,5,6,3
0x7b34af,99.813%,9,4805,4814,1,5,4,4804
0x7c938c,98.5714%,9,621,630,444,5,4,177
0x4a3969,99.8709%,8,6189,6197,5563,4,4,626
0x7b34a2,99.8755%,6,4814,4820,2,4,2,4812
0x59d1f2,53.8462%,6,7,13,0,3,3,7
0x7b3788,70.5882%,5,12,17,10,3,2,2
0x7b3774,70.5882%,5,12,17,11,2,3,1
0x59d281,99.3641%,4,625,629,625,4,0,0
0x7bd77c,99.6858%,4,1269,1273,5,4,0,1264
0x7b3496,99.9171%,4,4820,4824,1,3,1,4819
0x7b1d08,55.5556%,4,5,9,3,2,2,2
0x7b34f7,99.9169%,4,4811,4815,4811,2,2,0
0x7b34bb,99.9168%,4,4804,4808,1,3,1,4803
0x7b31fd,87.5%,3,21,24,2,2,1,19
0x7b3446,99.9379%,3,4829,4832,2,3,0,4827
0x7b13d8,70%,3,7,10,0,2,1,7
0x7b31e7,98.7288%,3,233,236,0,2,1,233
0x7b3489,99.9378%,3,4824,4827,1,2,1,4823
0x7b2fc5,99.9406%,3,5044,5047,5044,1,2,0
0x7b1469,0%,2,0,2,0,2,0,0
0x7b320a,90%,2,18,20,15,1,1,3
0x7c9377,99.6825%,2,628,630,91,0,2,537
0x7c93ca,99.6825%,2,628,630,91,0,2,537
0x7bd782,99.8418%,2,1262,1264,0,1,1,1262
0x7b151b,80%,2,8,10,8,1,1,0
0x7b2fa5,99.9605%,2,5055,5057,8,2,0,5047
0x7b30c2,60%,2,3,5,2,2,0,1
0x7b3020,99.9604%,2,5053,5055,3,2,0,5050
0x7b3806,84.6154%,2,11,13,8,1,1,3
0x7b34c8,99.9584%,2,4802,4804,1,1,1,4801
0x7b30a3,60%,2,3,5,2,1,1,1
0x59d0a5,99.8413%,1,629,630,629,0,1,0
0x59f417,0%,1,0,1,0,1,0,0
0x7b3610,80%,1,4,5,4,1,0,0
0x7b3a31,50%,1,1,2,1,1,0,0
0x7b1af5,92.3077%,1,12,13,8,1,0,4
0x59f3e2,0%,1,0,1,0,1,0,0
0x7b3069,85.7143%,1,6,7,6,1,0,0
0x7b1f40,88.8889%,1,8,9,8,1,0,0
0x7b35dd,50%,1,1,2,1,1,0,0
0x4d0889,0%,1,0,1,0,1,0,0
0x7b1b9f,75%,1,3,4,3,1,0,0
0x7b1bae,75%,1,3,4,3,1,0,0
0x7b4247,75%,1,3,4,0,0,1,3
0x7b3bb2,50%,1,1,2,1,1,0,0
0x7b575c,92.3077%,1,12,13,12,1,0,0
0x7b33c8,99.5283%,1,211,212,211,1,0,0
0x7bd82a,0%,1,0,1,0,1,0,0
0x7b25f3,88.8889%,1,8,9,8,1,0,0
0x7b1bde,88.8889%,1,8,9,8,1,0,0
