Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.7124%,19480,6752944,6772424,4777245,11074,8406,1975699
0x402828,93.0927%,7125,96027,103152,39118,5095,2030,56909
0x445d6f,72.0166%,3705,9535,13240,2758,2326,1379,6777
0x445d65,95.2695%,1913,38527,40440,26311,889,1024,12216
0x446639,86.574%,1622,10459,12081,10148,298,1324,311
0x44b95b,87.5467%,1301,9146,10447,8304,419,882,842
0x4482a9,91.6148%,876,9571,10447,342,635,241,9229
0x44ac5d,92.237%,811,9636,10447,9545,110,701,91
0x402a92,99.9801%,384,1925576,1925960,1452086,364,20,473490
0x4482ae,96.3464%,346,9124,9470,465,224,122,8659
0x444b1d,97.3102%,281,10166,10447,7023,94,187,3143
0x444b92,95.1743%,191,3767,3958,1585,96,95,2182
0x446186,98.6503%,141,10306,10447,7158,77,64,3148
0x44485c,97.4994%,99,3860,3959,2204,48,51,1656
0x4442bf,99.3425%,90,13598,13688,86,85,5,13512
0x4451ae,99.4302%,78,13610,13688,903,63,15,12707
0x402ac0,99.9878%,58,473452,473510,414546,24,34,58906
0x43ee15,99.6786%,44,13644,13688,13509,8,36,135
0x44508f,98.3794%,41,2489,2530,100,41,0,2389
0x445e7b,99.9085%,37,40404,40441,29980,18,19,10424
0x444b75,99.8357%,29,17618,17647,3943,16,13,13675
0x40d805,99.9973%,26,978936,978962,856572,20,6,122364
0x444991,99.8181%,19,10428,10447,313,7,12,10115
0x4443f7,99.8612%,19,13669,13688,13339,7,12,330
0x4442c3,99.8594%,19,13498,13517,305,11,8,13193
0x445122,99.8047%,19,9711,9730,625,8,11,9086
0x4449b0,99.8223%,18,10109,10127,116,10,8,9993
0x444970,99.8756%,13,10434,10447,122,9,4,10312
0x44492c,99.9263%,13,17634,17647,7198,2,11,10436
0x4442e5,99.9003%,13,13021,13034,306,6,7,12715
0x40fd91,99.9982%,12,679620,679632,509714,10,2,169906
0x402a52,99.9977%,11,473498,473509,0,0,11,473498
0x444d81,99.9416%,8,13680,13688,11150,8,0,2530
0x444514,99.9416%,8,13680,13688,9729,0,8,3951
0x402acb,99.9881%,7,58933,58940,58933,7,0,0
0x40283b,99.9881%,7,58932,58939,0,0,7,58932
0x4bdafe,98.2143%,6,330,336,330,3,3,0
0x404008,99.9899%,6,59346,59352,51933,0,6,7413
0x43ee2a,96.4912%,6,165,171,165,2,4,0
0x402a96,99.9989%,5,473505,473510,473505,5,0,0
0x444b83,99.9635%,5,13683,13688,9730,0,5,3953
0x44a96e,99.9617%,4,10443,10447,0,0,4,10443
0x44b48a,99.9713%,3,10444,10447,0,0,3,10444
0x43ee92,40%,3,2,5,2,2,1,0
0x444b9c,99.8682%,3,2274,2277,2203,2,1,71
0x402844,99.9949%,3,58936,58939,0,0,3,58936
0x43ec6a,50%,2,2,4,2,0,2,0
0x4450f7,99.9854%,2,13686,13688,9730,0,2,3956
0x43ebfa,50%,2,2,4,1,1,1,1
0x44af3d,99.9809%,2,10445,10447,0,0,2,10445
0x43ed7e,98.8304%,2,169,171,138,2,0,31
0x4028ea,99.9996%,2,473507,473509,473507,2,0,0
0x44aff2,99.9809%,2,10445,10447,0,0,2,10445
0x43fc76,33.3333%,2,1,3,1,1,1,0
0x43ec96,50%,2,2,4,2,2,0,0
0x44a97c,99.9809%,2,10445,10447,10445,2,0,0
0x43fc4a,33.3333%,2,1,3,1,0,2,0
0x43fddf,50%,2,2,4,2,1,1,0
0x43ebbb,50%,2,2,4,2,0,2,0
0x43f569,50%,2,2,4,2,1,1,0
0x4444f2,99.9927%,1,13687,13688,13687,1,0,0
0x43f52f,0%,1,0,1,0,0,1,0
0x44affd,99.9904%,1,10446,10447,10446,1,0,0
0x43ec1a,50%,1,1,2,0,1,0,1
0x44b97a,99.942%,1,1723,1724,0,0,1,1723
0x4452fe,50%,1,1,2,1,1,0,0
0x43ec81,75%,1,3,4,1,1,0,2
0x444bb7,99.943%,1,1752,1753,1752,1,0,0
0x43ee59,75%,1,3,4,3,0,1,0
0x43ed4a,75%,1,3,4,0,0,1,3
0x44b24c,99.9904%,1,10446,10447,0,0,1,10446
0x4bda5c,66.6667%,1,2,3,2,1,0,0
0x445c2c,99.9904%,1,10446,10447,3,1,0,10443
0x43f4b8,0%,1,0,1,0,0,1,0
0x43fde4,0%,1,0,1,0,0,1,0
0x43eb32,80%,1,4,5,4,0,1,0
0x402d24,99.9977%,1,44212,44213,44212,1,0,0
0x446691,99.9388%,1,1634,1635,1634,0,1,0
0x4452b8,50%,1,1,2,1,1,0,0
0x4449d7,99.9901%,1,10126,10127,126,1,0,10000
0x43fcad,0%,1,0,1,0,0,1,0
0x43fd3c,66.6667%,1,2,3,0,1,0,2
0x44465e,99.9747%,1,3958,3959,3958,1,0,0
0x44afb7,99.9904%,1,10446,10447,0,0,1,10446
0x43dffd,100%,0,1,1,0,0,0,1
0x40b89d,100%,0,2530,2530,0,0,0,2530
0x444355,100%,0,13688,13688,13688,0,0,0
0x40a62b,100%,0,20240,20240,17710,0,0,2530
0x43ed04,100%,0,4,4,4,0,0,0
0x445bfb,100%,0,10447,10447,0,0,0,10447
0x444e53,100%,0,2530,2530,2530,0,0,0
0x43eb8a,100%,0,4,4,4,0,0,0
0x44aeed,100%,0,10447,10447,10447,0,0,0
0x40b9bc,100%,0,2530,2530,0,0,0,2530
0x445162,100%,0,13688,13688,0,0,0,13688
0x43df39,100%,0,1,1,1,0,0,0
0x43fc0a,100%,0,1,1,0,0,0,1
0x44b7a2,100%,0,10447,10447,10447,0,0,0
0x40bab7,100%,0,2530,2530,0,0,0,2530
0x43f4fe,100%,0,1,1,0,0,0,1
0x44ac8b,100%,0,10447,10447,10447,0,0,0
0x43feb6,100%,0,1,1,0,0,0,1
0x44b6e0,100%,0,10447,10447,0,0,0,10447
0x47cd46,100%,0,2,2,0,0,0,2
0x404ca7,100%,0,13688,13688,13688,0,0,0
0x43fd47,100%,0,2,2,2,0,0,0
0x43fce9,100%,0,1,1,1,0,0,0
0x40ba9d,100%,0,2530,2530,0,0,0,2530
0x43eb3c,100%,0,1,1,1,0,0,0
0x43e024,100%,0,1,1,1,0,0,0
0x43df78,100%,0,1,1,1,0,0,0
0x47cd58,100%,0,2,2,0,0,0,2
0x43fc39,100%,0,3,3,0,0,0,3
0x43fd53,100%,0,1,1,0,0,0,1
0x404c1d,100%,0,13688,13688,0,0,0,13688
0x43ec0b,100%,0,2,2,2,0,0,0
0x43fc67,100%,0,2,2,0,0,0,2
0x4450b2,100%,0,2389,2389,0,0,0,2389
0x43fd8b,100%,0,1,1,0,0,0,1
0x444f0b,100%,0,2530,2530,0,0,0,2530
0x40bac3,100%,0,2530,2530,0,0,0,2530
0x43fdc9,100%,0,4,4,0,0,0,4
0x445370,100%,0,2,2,0,0,0,2
0x445d0f,100%,0,10442,10442,0,0,0,10442
0x44afd1,100%,0,10447,10447,0,0,0,10447
0x44af2e,100%,0,10447,10447,0,0,0,10447
0x43f4c9,100%,0,1,1,0,0,0,1
0x4461e7,100%,0,10447,10447,0,0,0,10447
0x43fcca,100%,0,1,1,0,0,0,1
0x44afde,100%,0,10447,10447,0,0,0,10447
0x4442d3,100%,0,13201,13201,167,0,0,13034
0x44afc4,100%,0,10447,10447,0,0,0,10447
0x43ecb7,100%,0,4,4,0,0,0,4
0x43f556,100%,0,4,4,0,0,0,4
0x44b0b9,100%,0,10447,10447,10447,0,0,0
0x4449ed,100%,0,10127,10127,10127,0,0,0
0x44b6e5,100%,0,10447,10447,10447,0,0,0
0x445156,100%,0,13688,13688,0,0,0,13688
0x4452b1,100%,0,2,2,0,0,0,2
0x4482b3,100%,0,8781,8781,8781,0,0,0
0x43fe46,100%,0,1,1,0,0,0,1
0x44aa89,100%,0,10447,10447,0,0,0,10447
0x44ad5e,100%,0,10447,10447,10447,0,0,0
0x44528d,100%,0,2,2,0,0,0,2
0x44665e,100%,0,1635,1635,0,0,0,1635
0x43eeaf,100%,0,1,1,0,0,0,1
0x44b48f,100%,0,10447,10447,10447,0,0,0
0x44acbb,100%,0,10447,10447,0,0,0,10447
0x404ca2,100%,0,13688,13688,0,0,0,13688
0x43fe52,100%,0,1,1,0,0,0,1
0x43eeaa,100%,0,1,1,0,0,0,1
0x4482ca,100%,0,1666,1666,0,0,0,1666
0x44b300,100%,0,10447,10447,10447,0,0,0
0x403f48,100%,0,7419,7419,0,0,0,7419
0x44b54d,100%,0,10447,10447,10447,0,0,0
0x43fd18,100%,0,1,1,0,0,0,1
0x47cd41,100%,0,2,2,0,0,0,2
0x43edb1,100%,0,171,171,0,0,0,171
0x44ac6d,100%,0,792,792,0,0,0,792
0x4442f8,100%,0,966,966,0,0,0,966
0x43fee7,100%,0,1,1,0,0,0,1
0x404c03,100%,0,13688,13688,0,0,0,13688
