Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.3106%,157998,22758976,22916974,12890528,72846,85152,9868448
0xa7838e,93.347%,7763,108922,116685,97993,1868,5895,10929
0xa305cd,93.4122%,3593,50947,54540,21854,1756,1837,29093
0xa39395,87.5893%,3580,25266,28846,13298,1693,1887,11968
0x62358e,93.725%,3263,48737,52000,37889,2686,577,10848
0x652b74,96.3947%,3249,86868,90117,29925,2721,528,56943
0xa77dc5,93.4469%,3130,44634,47764,13213,1793,1337,31421
0x65245a,94.8069%,2982,54440,57422,48328,891,2091,6112
0xa7827d,92.7585%,2543,32574,35117,13290,1208,1335,19284
0xa39282,92.0058%,2306,26540,28846,17419,1359,947,9121
0xa77fec,90.1349%,2223,20311,22534,17861,723,1500,2450
0x64dac3,99.0883%,2188,237812,240000,200853,1061,1127,36959
0xa76a95,90.2763%,2069,19209,21278,6365,1055,1014,12844
0xa77da5,97.1054%,1996,66960,68956,20105,1087,909,46855
0xa761d8,96.0673%,1929,47121,49050,8224,1084,845,38897
0x655562,99.213%,1916,241537,243453,229227,711,1205,12310
0xa77fb5,96.1642%,1898,47583,49481,25331,988,910,22252
0xa76290,88.368%,1737,13196,14933,4579,1072,665,8617
0xa78397,90.1391%,1659,15165,16824,7310,714,945,7855
0xa77ffd,91.8211%,1346,15111,16457,1253,1066,280,13858
0x64dace,96.5289%,1322,36764,38086,21513,573,749,15251
0xa762de,89.8063%,1247,10986,12233,2634,847,400,8352
0xa76aa1,91.1315%,1229,12629,13858,7625,538,691,5004
0xa39234,96.458%,1143,31127,32270,14203,428,715,16924
0x927d6c,98.3297%,1113,65520,66633,63143,306,807,2377
0xa762d6,93.0222%,1042,13891,14933,1971,729,313,11920
0x9283a5,78.791%,1028,3819,4847,531,715,313,3288
0x652462,87.8703%,995,7208,8203,3786,316,679,3422
0xa78154,90.5833%,967,9302,10269,3066,498,469,6236
0x6527eb,99.1302%,947,107933,108880,24052,557,390,83881
0x652bf9,80.9188%,893,3787,4680,1312,549,344,2475
0x655da6,98.4499%,825,52397,53222,39466,241,584,12931
0x652ac5,99.1242%,817,92473,93290,87870,573,244,4603
0xa76269,93.5993%,783,11450,12233,6271,422,361,5179
0x92813a,92.0207%,757,8730,9487,5968,336,421,2762
0x8bff21,93.7596%,649,9751,10400,5920,434,215,3831
0xa768f5,99.0617%,647,68309,68956,21025,253,394,47284
0x8bf414,93.9423%,630,9770,10400,5926,428,202,3844
0x652b7f,99.3109%,621,89496,90117,85195,242,379,4301
0xa2e900,98.3815%,610,37079,37689,34509,301,309,2570
0x65ddb4,94.1442%,609,9791,10400,9370,216,393,421
0x65db63,94.2788%,595,9805,10400,9415,171,424,390
0xa304d2,99.1012%,591,65165,65756,19892,467,124,45273
0x65d9f3,94.4615%,576,9824,10400,9405,181,395,419
0x65df04,94.5962%,562,9838,10400,9402,184,378,436
0x92851b,88.6734%,549,4298,4847,2868,230,319,1430
0xa78147,97.0458%,549,18035,18584,8061,254,295,9974
0xa7697f,98.8842%,532,47146,47678,25418,278,254,21728
0xa76a4a,97.5703%,517,20761,21278,17772,220,297,2989
0x8bf3dc,95.0385%,516,9884,10400,8965,294,222,919
0xa78296,97.4645%,511,19643,20154,880,361,150,18763
0x8bfe9c,95.1538%,504,9896,10400,8960,299,205,936
0x643324,95.25%,494,9906,10400,967,174,320,8939
0x6433f4,95.2885%,490,9910,10400,967,174,316,8943
0x9282b4,98.2936%,489,28167,28656,23610,199,290,4557
0x6434c4,95.3269%,486,9914,10400,964,177,309,8950
0xa2e87b,98.7264%,480,37209,37689,35858,264,216,1351
0x6429c6,95.3942%,479,9921,10400,8958,301,178,963
0x642bd6,95.4615%,472,9928,10400,8963,296,176,965
0x643206,95.5%,468,9932,10400,8965,294,174,967
0x63b1c3,97.2202%,467,16333,16800,14713,288,179,1620
0x643016,95.5385%,464,9936,10400,8966,293,171,970
0x6437af,95.5385%,464,9936,10400,8977,282,182,959
0x643654,95.5481%,463,9937,10400,984,157,306,8953
0xa77e20,98.7347%,458,35740,36198,762,257,201,34978
0x63da28,95.5962%,458,9942,10400,8962,297,161,980
0x63d558,95.6058%,457,9943,10400,8981,278,179,962
0x926a76,90.6939%,456,4444,4900,3823,263,193,621
0x642e26,95.6442%,453,9947,10400,8980,279,174,967
0x65494c,99.6254%,451,119957,120408,111800,88,363,8157
0x63d678,95.6731%,450,9950,10400,8968,291,159,982
0xa39242,98.6055%,450,31820,32270,3118,306,144,28702
0x65c91d,95.8077%,436,9964,10400,9382,204,232,582
0xa77e3a,98.7663%,434,34745,35179,34206,118,316,539
0x6435a4,95.8654%,430,9970,10400,994,147,283,8976
0x63d8c9,95.9712%,419,9981,10400,8984,275,144,997
0x63c258,96.0865%,407,9993,10400,8992,267,140,1001
0x645310,96.0962%,406,9994,10400,6110,244,162,3884
0x645e98,96.2404%,391,10009,10400,6110,244,147,3899
0x62359a,99.0585%,382,40193,40575,39968,102,280,225
0x65c95b,96.3558%,379,10021,10400,6356,247,132,3665
0x658b1c,96.4423%,370,10030,10400,3408,112,258,6622
0x637cc2,94.5226%,366,6316,6682,5408,171,195,908
0xa30629,99.3326%,364,54176,54540,19433,194,170,34743
0x926a87,91.116%,363,3723,4086,1132,241,122,2591
0xa22380,98.2256%,363,20095,20458,451,310,53,19644
0x654545,99.7374%,361,137093,137454,128830,103,258,8263
0xa8209e,99.9409%,359,607573,607932,604176,107,252,3397
0xa8dbfc,94.2912%,358,5913,6271,5517,182,176,396
0x654fbe,99.7049%,351,118594,118945,110611,131,220,7983
0x654ed5,96.3899%,350,9345,9695,1243,249,101,8102
0xa7631b,99.2885%,349,48701,49050,44049,96,253,4652
0x429839,96.6538%,348,10052,10400,9067,192,156,985
0x9fb655,94.858%,344,6346,6690,5419,160,184,927
0xa782bb,98.0606%,344,17393,17737,2978,160,184,14415
0x65e983,96.7019%,343,10057,10400,6284,218,125,3773
0x64ed43,97.7987%,339,15061,15400,14114,38,301,947
0x65ec23,96.75%,338,10062,10400,6308,194,144,3754
