Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.6432%,101688,28396919,28498607,23906461,33562,68126,4490458
0x8e376d,97.1233%,1403,47369,48772,47369,33,1370,0
0x78afb8,97.6562%,1215,50625,51840,49114,423,792,1511
0x873a36,95.4552%,1178,24742,25920,22427,542,636,2315
0x87a868,95.5787%,1146,24774,25920,18799,615,531,5975
0x873961,95.6173%,1136,24784,25920,21521,528,608,3263
0x8739c4,95.6906%,1117,24803,25920,22440,529,588,2363
0x873ae4,95.8179%,1084,24836,25920,22477,492,592,2359
0x873b84,95.8796%,1068,24852,25920,2369,582,486,22483
0x87dd1c,95.8363%,1055,24283,25338,6296,468,587,17987
0x873b44,96.0494%,1024,24896,25920,2414,537,487,22482
0x873bc4,96.1343%,1002,24918,25920,2443,508,494,22475
0x86da87,99.1843%,814,98978,99792,75476,484,330,23502
0x86de67,99.2134%,785,99007,99792,74890,437,348,24117
0x873c1c,97.0795%,757,25163,25920,24758,179,578,405
0x7803bc,90.4425%,730,6908,7638,6247,271,459,661
0x8e36ee,99.872%,695,542373,543068,494128,168,527,48245
0x873825,97.6543%,608,25312,25920,24376,255,353,936
0x873664,97.6736%,603,25317,25920,24388,243,360,929
0x873905,97.6852%,600,25320,25920,24379,252,348,941
0x873783,97.7006%,596,25324,25920,960,329,267,24364
0x8736e4,97.7585%,581,25339,25920,24393,238,343,946
0x780705,97.7401%,576,24912,25488,17731,362,214,7181
0x873883,97.8086%,568,25352,25920,976,313,255,24376
0x8e3f1f,99.8463%,557,361847,362404,361680,6,551,167
0x77e1b3,98.9911%,523,51317,51840,36509,296,227,14808
0x64a9f8,99.1117%,513,57237,57750,19607,271,242,37630
0x64b3a7,98.4668%,510,32754,33264,25218,309,201,7536
0x77e313,99.0181%,509,51331,51840,36525,280,229,14806
0x795199,98.4497%,509,32323,32832,24425,301,208,7898
0x7a8a67,98.4728%,508,32756,33264,7951,204,304,24805
0x77e263,99.0258%,505,51335,51840,36523,282,223,14812
0x65f8f7,98.4848%,504,32760,33264,24808,301,203,7952
0x64ebc7,98.4568%,500,31900,32400,24172,284,216,7728
0x65f876,98.4999%,499,32765,33264,24818,291,208,7947
0x780378,98.0618%,494,24994,25488,17519,331,163,7475
0x7d4f49,98.5209%,492,32772,33264,24830,279,213,7942
0x831b93,98.569%,476,32788,33264,7766,178,298,25022
0x65f976,98.572%,475,32789,33264,24813,296,179,7976
0x831c24,98.5871%,470,32794,33264,7777,167,303,25017
0x7a89a7,98.5931%,468,32796,33264,7971,184,284,24825
0x831b34,98.6382%,453,32811,33264,25055,265,188,7756
0x7863fa,98.6233%,452,32380,32832,24456,270,182,7924
0x831aa3,98.6412%,452,32812,33264,7777,167,285,25035
0x77e3c3,99.13%,451,51389,51840,36561,244,207,14828
0x7eed97,98.4423%,445,28122,28567,20656,272,173,7466
0x794f89,98.6446%,445,32387,32832,24651,282,163,7736
0x77e124,99.1341%,444,50831,51275,14852,183,261,35979
0x77b113,99.1633%,429,50846,51275,36011,229,200,14835
0x873168,98.4356%,419,26365,26784,8460,123,296,17905
0x86de8c,99.5881%,411,99381,99792,97874,70,341,1507
0x78072c,94.4557%,410,6985,7395,5795,175,235,1190
0x87397c,88.22%,407,3048,3455,2820,131,276,228
0x96b86e,99.8292%,406,237284,237690,225016,77,329,12268
0x780794,98.4228%,402,25086,25488,17828,265,137,7258
0x780689,98.4235%,398,24847,25245,17596,254,144,7251
0x795091,95.5095%,364,7742,8106,287,297,67,7455
0x780874,98.5836%,361,25127,25488,7278,117,244,17849
0x794f11,95.4551%,359,7540,7899,296,272,87,7244
0x780a17,98.5819%,358,24887,25245,17630,220,138,7257
0x7a3de4,98.6268%,350,25138,25488,17624,226,124,7514
0x87da65,98.6386%,347,25141,25488,17633,217,130,7508
0x7a3a65,98.6464%,345,25143,25488,17660,190,155,7483
0x780814,98.6621%,341,25147,25488,17874,219,122,7273
0x7d4e91,95.8553%,338,7817,8155,330,260,78,7487
0x64a9c3,99.432%,328,57422,57750,12795,117,211,44627
0x78b037,99.3692%,327,51513,51840,50826,54,273,687
0x7a3b44,98.7288%,324,25164,25488,17641,209,115,7523
0x786342,96.077%,318,7788,8106,322,262,56,7466
0x86dab6,99.6833%,316,99476,99792,97916,28,288,1560
0x87beec,98.7759%,312,25176,25488,7527,111,201,17649
0x87b673,98.8156%,307,25613,25920,7541,97,210,18072
0x7951c4,99.0741%,304,32528,32832,32203,21,283,325
0x878016,98.8191%,301,25187,25488,17654,196,105,7533
0x7a3cf5,98.8269%,299,25189,25488,17673,177,122,7516
0x879bd6,98.8465%,299,25621,25920,7692,108,191,17929
0x87daf4,98.8504%,293,25195,25488,17676,174,119,7519
0x7db0eb,98.885%,289,25631,25920,17939,181,108,7692
0x7db02b,98.885%,289,25631,25920,18096,186,103,7535
0x64a0fa,99.391%,287,46837,47124,7216,98,189,39621
0x7a1c86,98.8818%,285,25203,25488,17669,181,104,7534
0x7950b3,99.135%,284,32548,32832,32201,23,261,347
0x831b5a,99.1582%,280,32984,33264,32612,36,244,372
0x87bfc7,98.9014%,280,25208,25488,18143,163,117,7065
0x87db73,98.9093%,278,25210,25488,17679,171,107,7531
0x65f993,99.1733%,275,32989,33264,32619,29,246,370
0x786423,99.1654%,274,32558,32832,32149,75,199,409
0x8736a0,79.519%,264,1025,1289,888,92,172,137
0x64aa77,99.5498%,260,57490,57750,56560,35,225,930
0x794fac,99.2203%,256,32576,32832,32207,17,239,369
0x873974,93.4126%,255,3616,3871,235,181,74,3381
0x650352,99.1753%,254,30546,30800,25350,158,96,5196
0x65f893,99.2394%,253,33011,33264,32619,29,224,392
0x7eee57,99.1354%,247,28320,28567,28003,25,222,317
0x64a9da,99.5758%,245,57505,57750,5034,84,161,52471
0x8738c8,99.0625%,243,25677,25920,25413,27,216,264
0x831bea,99.2725%,242,33022,33264,32630,18,224,392
0x7d4f73,99.2755%,241,33023,33264,32639,9,232,384
0x831c4c,99.3025%,232,33032,33264,32623,25,207,409
0x77e28a,99.5544%,231,51609,51840,50833,47,184,776
0x65f914,99.3146%,228,33036,33264,32616,32,196,420
0x7a89d7,99.3236%,225,33039,33264,32623,25,200,416
0x77e1da,99.5718%,222,51618,51840,50854,26,196,764
0x873bd9,99.159%,218,25702,25920,25414,26,192,288
0x831afa,99.3506%,216,33048,33264,32621,27,189,427
0x64ebec,99.3395%,214,32186,32400,31768,32,182,418
0x7a8a9b,99.3627%,212,33052,33264,32634,14,198,418
0x7d4e89,99.3687%,210,33054,33264,25059,50,160,7995
0x873993,99.1898%,210,25710,25920,25418,22,188,292
0x7d4eb3,99.3747%,208,33056,33264,32630,18,190,426
0x78633a,99.3695%,207,32625,32832,24677,49,158,7948
0x873b99,99.2014%,207,25713,25920,25426,14,193,287
0x64b3e3,99.3807%,206,33058,33264,32631,17,189,427
0x64a181,99.5629%,206,46918,47124,46179,21,185,739
0x872894,99.4498%,206,37234,37440,37227,21,185,7
0x7a1cb7,99.1957%,205,25283,25488,24993,23,182,290
0x77e3ea,99.6065%,204,51636,51840,50841,39,165,795
0x794f09,99.3817%,203,32629,32832,24879,54,149,7750
0x794f2c,99.3878%,201,32631,32832,32209,15,186,422
0x786364,99.3908%,200,32632,32832,32214,10,190,418
0x7db095,97.4487%,199,7601,7800,393,150,49,7208
0x795089,99.4%,197,32635,32832,24676,50,147,7959
0x7a1c0e,97.447%,195,7443,7638,7059,47,148,384
0x7dafd5,97.4601%,194,7444,7638,385,147,47,7059
0x77e33a,99.6258%,194,51646,51840,50848,32,162,798
0x795588,98.7434%,191,15009,15200,12505,122,69,2504
0x7a1c37,99.2663%,187,25301,25488,24986,30,157,315
0x8767e4,99.2785%,187,25733,25920,25471,17,170,262
0x7db313,98.45%,186,11814,12000,1065,135,51,10749
0x7db11a,99.2978%,182,25738,25920,25413,27,155,325
0x650f37,98.8247%,181,15219,15400,2592,54,127,12627
0x87391b,99.3056%,180,25740,25920,25434,6,174,306
0x7db33f,98.5%,180,11820,12000,2682,78,102,9138
0x78c123,99.3171%,177,25743,25920,25736,22,155,7
0x797387,98.8636%,175,15225,15400,12645,109,66,2580
0x7a3e06,99.3134%,175,25313,25488,24992,24,151,321
0x797ae7,98.8636%,175,15225,15400,12640,114,61,2585
0x87a918,99.3056%,174,24882,25056,9,153,21,24873
0x878033,99.3252%,172,25316,25488,24999,17,155,317
0x780908,99.333%,170,25318,25488,25312,14,156,6
0x780a34,99.333%,170,25318,25488,25001,15,155,317
0x8737cc,99.348%,169,25751,25920,25430,10,159,321
0x78c1b3,99.3519%,168,25752,25920,25748,10,158,4
0x87a920,99.3292%,167,24727,24894,24714,18,149,13
0x7db329,98.6333%,164,11836,12000,1574,106,58,10262
0x77ee48,99.3644%,162,25326,25488,20345,71,91,4981
0x8740ad,99.692%,161,52111,52272,51621,18,143,490
0x77bf29,99.6842%,161,50815,50976,50579,73,88,236
0x8736b9,99.3789%,161,25759,25920,25431,9,152,328
0x77c5e7,99.6881%,159,50817,50976,50583,69,90,234
0x82770c,79.4393%,154,595,749,393,128,26,202
0x77c924,99.7038%,151,50825,50976,50760,50,101,65
0x873b59,99.4213%,150,25770,25920,25427,13,137,343
0x65037b,99.5162%,149,30651,30800,30170,14,135,481
0x7a3d19,99.4154%,149,25339,25488,25002,14,135,337
0x7dafcb,99.4329%,147,25773,25920,18226,56,91,7547
0x872a04,99.2201%,146,18574,18720,12835,125,21,5739
0x77c814,99.7156%,145,50831,50976,50766,44,101,65
0x77cf33,99.7214%,142,50834,50976,50761,49,93,73
0x87da95,98.154%,141,7497,7638,6964,74,67,533
0x797b16,99.0909%,140,15260,15400,15081,11,129,179
0x77cdf6,99.7273%,139,50837,50976,50755,55,84,82
0x77c8b4,99.7273%,139,50837,50976,50757,53,86,80
0x650f72,99.0974%,139,15261,15400,15082,10,129,179
0x848698,99.3966%,138,22733,22871,20004,8,130,2729
0x77cba3,99.7293%,138,50838,50976,50759,51,87,79
0x7973b6,99.1169%,136,15264,15400,15086,6,130,178
0x8728bd,99.6368%,136,37304,37440,36707,13,123,597
0x7da484,99.7396%,135,51705,51840,51295,67,68,410
0x7da6f4,99.7396%,135,51705,51840,51302,60,75,403
0x8739fb,99.483%,134,25786,25920,25425,15,119,361
0x77c563,99.7371%,134,50842,50976,50774,44,90,68
0x77ca44,99.7371%,134,50842,50976,50772,38,96,70
0x77cd78,99.7391%,133,50843,50976,50030,2,131,813
0x77cae4,99.7391%,133,50843,50976,50755,55,78,88
0x77c774,99.7391%,133,50843,50976,50763,47,86,80
0x77ee52,97.4172%,131,4941,5072,4834,63,68,107
0x7da5b5,99.7492%,130,51710,51840,51302,60,70,408
0x7da414,99.7492%,130,51710,51840,51295,67,63,415
0x77c165,99.745%,130,50846,50976,50764,54,76,82
0x77c226,99.745%,130,50846,50976,50772,46,84,74
0x8e40ab,99.7714%,129,56298,56427,648,118,11,55650
0x7a1c06,99.4939%,129,25359,25488,17812,38,91,7547
0x77cea3,99.7489%,128,50848,50976,50768,42,86,80
0x77c4d3,99.7489%,128,50848,50976,50776,42,86,72
0x77c436,99.7489%,128,50848,50976,50772,46,82,76
0x77cd35,99.7509%,127,50849,50976,50765,45,82,84
0x77afae,86.7708%,127,833,960,833,7,120,0
0x77bf5f,99.7509%,127,50849,50976,50032,0,127,817
0x7da3b9,99.755%,127,51713,51840,51310,52,75,403
0x77d92d,99.7569%,126,51714,51840,51305,54,72,409
0x77b109,99.7569%,126,51714,51840,515,50,76,51199
0x77d963,86.9792%,125,835,960,834,6,119,1
0x77c2d4,99.7548%,125,50851,50976,50766,52,73,85
0x77dfe2,86.9792%,125,835,960,835,5,120,0
0x77def2,87.0833%,124,836,960,836,4,120,0
