Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,95.014%,969314,18471432,19440746,9641147,466200,503114,8830285
0x403465,93.8844%,38307,588074,626381,280970,20805,17502,307104
0x403479,94.4118%,30392,513467,543859,205200,14053,16339,308267
0x4013c9,79.2399%,20500,78247,98747,52485,9368,11132,25762
0x40ad24,77.5908%,20037,69377,89414,33065,8261,11776,36312
0x40db09,90.9761%,18915,190695,209610,7065,14904,4011,183630
0x407276,81.2911%,18693,81222,99915,21040,11594,7099,60182
0x40140c,83.7058%,16090,82657,98747,53042,6650,9440,29615
0x407638,85.6589%,15873,94809,110682,74223,6098,9775,20586
0x40abd3,85.8641%,15475,93998,109473,83420,4647,10828,10578
0x40acfb,84.6998%,13718,75941,89659,51689,6861,6857,24252
0x401427,86.3297%,13499,85248,98747,62410,5319,8180,22838
0x40111c,85.9156%,13246,80801,94047,70862,4721,8525,9939
0x4013e7,86.9535%,12883,85864,98747,70786,5524,7359,15078
0x40f888,88.2164%,11636,87111,98747,15505,6638,4998,71606
0x40cc63,66.915%,11590,23441,35031,9218,6490,5100,14223
0x40ca35,84.0592%,11031,58169,69200,57157,2133,8898,1012
0x40d488,84.8106%,10424,58203,68627,50897,4217,6207,7306
0x406eb1,90.894%,10079,100606,110685,24798,5566,4513,75808
0x4101b1,81.8236%,9722,43765,53487,7965,5839,3883,35800
0x40ab55,91.2785%,9504,99468,108972,35285,6039,3465,64183
0x40f8e5,90.9834%,9246,93298,102544,62775,4590,4656,30523
0x4064ec,78.8849%,9142,34154,43296,17237,4636,4506,16917
0x401148,88.7189%,8885,69875,78760,59671,3215,5670,10204
0x40d4a6,59.4679%,8684,12741,21425,7628,3000,5684,5113
0x40117c,87.428%,8666,60265,68931,53649,3196,5470,6616
0x40dba7,96.122%,8191,203025,211216,201763,1226,6965,1262
0x40fa66,87.2648%,7992,54763,62755,22501,3439,4553,32262
0x40ad00,86.3419%,7897,49922,57819,3629,6102,1795,46293
0x40c8fd,87.1043%,7781,52557,60338,27988,3736,4045,24569
0x407085,74.459%,7755,22608,30363,11973,4106,3649,10635
0x407122,93.2141%,7511,103174,110685,55167,3584,3927,48007
0x403789,86.0568%,7466,46080,53546,38698,3233,4233,7382
0x40ca68,89.9393%,6962,62238,69200,57384,2230,4732,4854
0x40777b,93.7298%,6940,103743,110683,18267,3879,3061,85476
0x40d3ef,75.4017%,6752,20697,27449,9515,3537,3215,11182
0x40658c,81.1851%,6744,29100,35844,24127,2942,3802,4973
0x40cb3f,90.9017%,6296,62904,69200,48143,3128,3168,14761
0x40ac6d,90.9052%,6227,62241,68468,7066,3583,2644,55175
0x401238,91.4229%,6210,66192,72402,60934,2326,3884,5258
0x405e82,90.6711%,6207,60328,66535,54590,2252,3955,5738
0x40ac98,89.2752%,6201,51618,57819,23469,3241,2960,28149
0x40cbe3,89.7054%,6137,53477,59614,21597,2986,3151,31880
0x40ac62,93.1291%,6046,81948,87994,15898,3628,2418,66050
0x40d163,72.5085%,5848,15424,21272,5979,3222,2626,9445
0x40c6f9,88.3273%,5709,43200,48909,38589,2179,3530,4611
0x406d3a,82.3839%,5483,25642,31125,21049,2291,3192,4593
0x406f21,82.2712%,5383,24980,30363,16050,2473,2910,8930
0x40fa16,91.6198%,5259,57496,62755,23306,2851,2408,34190
0x407785,94.1414%,5187,83350,88537,76240,1807,3380,7110
0x40feb9,88.6727%,5106,39971,45077,5371,2984,2122,34600
0x406529,88.5278%,4967,38329,43296,20581,2158,2809,17748
0x407712,95.5242%,4954,105729,110683,49464,2469,2485,56265
0x401260,92.6012%,4805,60138,64943,53004,1983,2822,7134
0x40fa3f,92.364%,4792,57963,62755,19073,2070,2722,38890
0x407659,85.1224%,4517,25844,30361,9401,2438,2079,16443
0x4090ad,86.4671%,4417,28222,32639,23817,2096,2321,4405
0x406c0b,76.8281%,4411,14625,19036,4837,2649,1762,9788
0x406522,84.4764%,4398,23933,28331,4361,2547,1851,19572
0x40d20c,81.9915%,4344,19778,24122,13350,2899,1445,6428
0x407501,96.1413%,4271,106414,110685,1203,2753,1518,105211
0x40d48c,71.0775%,4131,10152,14283,233,3253,878,9919
0x406bdc,76.7752%,4095,13537,17632,3785,2296,1799,9752
0x40f9e0,91.9933%,4091,47004,51095,37738,2051,2040,9266
0x40c715,66.9079%,4070,8229,12299,4326,1852,2218,3903
0x405de2,91.4732%,4033,43265,47298,37692,1478,2555,5573
0x406839,74.5443%,3938,11532,15470,7421,1941,1997,4111
0x40f9cd,90.3896%,3934,37001,40935,5338,2455,1479,31663
0x40942c,74.9115%,3900,11645,15545,5699,1775,2125,5946
0x40d041,85.802%,3886,23484,27370,20557,1490,2396,2927
0x40db27,97.9493%,3848,183793,187641,183205,732,3116,588
0x40f994,94.0445%,3824,60386,64210,3109,2479,1345,57277
0x40adc5,78.578%,3748,13748,17496,11316,1361,2387,2432
0x40ae56,82.5595%,3542,16767,20309,16247,845,2697,520
0x40ce55,89.4961%,3396,28935,32331,16875,1706,1690,12060
0x40ca81,65.4705%,3310,6276,9586,5079,1371,1939,1197
0x4070f9,97.0312%,3286,107399,110685,98883,1032,2254,8516
0x40b50b,81.2052%,3281,14176,17457,10945,1358,1923,3231
0x40a7c9,87.9891%,3257,23860,27117,2171,1997,1260,21689
0x40b044,81.3554%,3216,14033,17249,4767,1630,1586,9266
0x40db65,85.4431%,3198,18771,21969,600,2177,1021,18171
0x40b505,85.0516%,3184,18116,21300,1875,1968,1216,16241
0x41022e,78.0405%,3167,11255,14422,8571,1409,1758,2684
0x40d060,61.3833%,3121,4961,8082,3075,995,2126,1886
0x406c9b,75.733%,3079,9609,12688,2277,1679,1400,7332
0x40a7d4,86.775%,3035,19914,22949,4512,1827,1208,15402
0x40cba5,95.6662%,2999,66201,69200,62356,1319,1680,3845
0x406859,80.6335%,2996,12474,15470,4375,1509,1487,8099
0x4037ec,91.3293%,2981,31399,34380,21311,1513,1468,10088
0x40fed2,91.9585%,2953,33769,36722,33699,761,2192,70
0x40f941,89.0357%,2945,23915,26860,2422,1787,1158,21493
0x4065c9,91.8285%,2929,32915,35844,13962,1304,1625,18953
0x40fa8e,94.4669%,2926,49956,52882,6551,1904,1022,43405
0x4063c4,85.9868%,2894,17758,20652,16558,1161,1733,1200
0x40cfa1,79.7018%,2791,10959,13750,6675,1737,1054,4284
0x40832b,91.4703%,2784,29855,32639,7930,1584,1200,21925
0x40ad98,94.0164%,2773,43570,46343,27168,1679,1094,16402
0x40ad8d,96.3342%,2770,72794,75564,27720,1501,1269,45074
0x406ec0,96.6061%,2726,77595,80321,4475,1875,851,73120
0x40d799,98.5218%,2719,181218,183937,180968,451,2268,250
0x40b055,75.2212%,2689,8163,10852,4594,1343,1346,3569
0x40b536,78.428%,2654,9649,12303,5140,1176,1478,4509
0x40d0a4,93.3989%,2644,37410,40054,36995,916,1728,415
0x40ae9b,79.1749%,2640,10037,12677,1687,1583,1057,8350
0x408e3e,89.6151%,2601,22445,25046,2966,1580,1021,19479
0x40f9ba,94.1639%,2599,41934,44533,1845,1753,846,40089
0x401134,85.989%,2587,15877,18464,14415,872,1715,1462
0x408300,95.7075%,2567,57235,59802,25962,1328,1239,31273
0x4012b2,95.8386%,2557,58889,61446,57316,961,1596,1573
0x40ce40,93.7417%,2545,38121,40666,6704,1631,914,31417
0x406c6c,81.1999%,2488,10746,13234,2875,1627,861,7871
0x4093e4,94.1937%,2462,39940,42402,25810,1047,1415,14130
0x40d7e2,98.647%,2424,176739,179163,176487,491,1933,252
0x40d7b4,98.6997%,2359,179060,181419,178847,316,2043,213
0x401160,85.2589%,2340,13534,15874,8676,1153,1187,4858
0x406974,67.3303%,2330,4802,7132,3672,889,1441,1130
0x4010de,97.6434%,2261,93681,95942,378,1517,744,93303
0x40f958,90.049%,2254,20397,22651,3500,1198,1056,16897
0x406861,80.2186%,2226,9027,11253,3997,880,1346,5030
0x40f981,96.6971%,2225,65140,67365,1463,1692,533,63677
0x40c6fd,72.7284%,2221,5923,8144,473,1550,671,5450
0x40f8fc,93.8173%,2175,33004,35179,1573,1284,891,31431
0x4086db,93.3883%,2158,30481,32639,8397,1117,1041,22084
0x4068c2,79.5089%,2153,8354,10507,7211,854,1299,1143
0x40cd24,86.0436%,2143,13212,15355,12041,810,1333,1171
0x40a9b7,87.5139%,2127,14908,17035,2747,1093,1034,12161
0x4090c1,93.5415%,2108,30531,32639,28391,848,1260,2140
0x406c12,88.0948%,2099,15532,17631,9337,1174,925,6195
0x40ad85,89.3117%,2087,17439,19526,299,1482,605,17140
0x40ba3c,74.8633%,2068,6159,8227,2621,995,1073,3538
0x4080d5,93.7008%,2056,30583,32639,2342,1240,816,28241
0x410271,85.9382%,2028,12394,14422,7144,1086,942,5250
0x409138,93.6958%,2027,30126,32153,26792,705,1322,3334
0x40f9a7,96.5474%,2024,56598,58622,12960,1129,895,43638
0x40dae6,99.0664%,1972,209244,211216,209161,449,1523,83
0x408da6,94.0531%,1941,30698,32639,2735,1058,883,27963
0x40f92a,94.0072%,1937,30385,32322,4182,1280,657,26203
0x40d18c,83.9758%,1933,10130,12063,274,1371,562,9856
0x40a808,85.0601%,1928,10977,12905,3591,1065,863,7386
0x4011a2,96.7377%,1918,56875,58793,56221,797,1121,654
0x4090f0,94.3105%,1857,30782,32639,27635,663,1194,3147
0x40d374,92.3051%,1856,22264,24120,17431,807,1049,4833
0x408420,94.3136%,1856,30783,32639,3593,1112,744,27190
0x409305,94.3411%,1847,30792,32639,1527,1016,831,29265
0x407534,98.4148%,1753,108830,110583,108301,377,1376,529
0x401194,85.8349%,1712,10374,12086,9487,651,1061,887
0x40644d,78.8326%,1708,6361,8069,3859,784,924,2502
0x40a7fb,90.0482%,1653,14957,16610,2876,829,824,12081
0x40af6b,90.5831%,1631,15689,17320,14510,810,821,1179
0x40d046,69.7452%,1615,3723,5338,91,1235,380,3632
0x40690d,84.8006%,1597,8910,10507,3197,930,667,5713
0x408023,95.2143%,1562,31077,32639,1374,940,622,29703
0x406810,86.1459%,1559,9694,11253,725,942,617,8969
0x4083a4,95.2725%,1543,31096,32639,834,875,668,30262
0x406534,92.5334%,1542,19110,20652,10093,554,988,9017
0x40852c,95.021%,1540,29390,30930,27015,561,979,2375
0x406418,92.5721%,1534,19118,20652,11560,1023,511,7558
0x40cd45,60.9121%,1517,2364,3881,1408,564,953,956
0x4095ed,95.3798%,1508,31131,32639,28870,731,777,2261
0x40b8f0,92.0784%,1483,17238,18721,15311,445,1038,1927
0x408700,93.5957%,1481,21644,23125,1262,883,598,20382
0x409439,81.8114%,1468,6603,8071,1487,802,666,5116
0x401290,97.6649%,1466,61316,62782,60865,519,947,451
0x409176,95.5391%,1456,31183,32639,1422,892,564,29761
0x40739a,74.7876%,1454,4313,5767,4069,486,968,244
0x40937a,95.5623%,1443,31074,32517,4040,988,455,27034
0x405e89,85.2754%,1433,8299,9732,4370,949,484,3929
0x40aa67,94.1953%,1398,22686,24084,1765,913,485,20921
0x406168,86.037%,1397,8608,10005,6757,620,777,1851
0x405512,86.4768%,1396,8927,10323,8466,328,1068,461
0x406289,87.0856%,1375,9272,10647,6987,670,705,2285
0x4065c2,86.6978%,1368,8916,10284,725,784,584,8191
0x40aaa3,98.0176%,1341,66304,67645,66040,373,968,264
0x40d158,94.4739%,1333,22789,24122,2106,744,589,20683
0x4056f3,71.3728%,1320,3291,4611,1198,808,512,2093
0x4010c4,98.6902%,1270,95692,96962,183,837,433,95509
0x40cc79,93.4637%,1263,18060,19323,16204,542,721,1856
0x40aff5,96.9092%,1243,38973,40216,22194,702,541,16779
0x406ce5,84.1875%,1231,6554,7785,5496,495,736,1058
0x401250,86.6112%,1224,7918,9142,6952,507,717,966
0x40aab8,98.1871%,1204,65209,66413,65020,235,969,189
0x406ca2,91.0307%,1187,12047,13234,5708,408,779,6339
0x40cb43,93.491%,1167,16762,17929,16328,403,764,434
0x40751d,98.9505%,1160,109374,110534,109244,337,823,130
0x40b003,93.343%,1153,16167,17320,9957,528,625,6210
0x40d36a,96.5678%,1144,32187,33331,8579,632,512,23608
0x4073d0,77.2536%,1138,3865,5003,3637,474,664,228
0x405472,83.3681%,1116,5594,6710,5027,384,732,567
0x405fa1,92.9813%,1110,14705,15815,10612,592,518,4093
0x405de9,86.7618%,1076,7052,8128,3047,488,588,4005
0x406c1d,85.2054%,1055,6076,7131,4924,450,605,1152
0x40b5e0,92.2096%,1045,12369,13414,1428,562,483,10941
0x40668a,83.8987%,1030,5367,6397,1954,527,503,3413
0x40adea,96.6236%,974,27873,28847,26435,326,648,1438
0x40aacd,98.5457%,949,64306,65255,64215,203,746,91
0x407f6d,97.1445%,932,31707,32639,278,208,724,31429
0x40ce73,95.0164%,926,17655,18581,15281,506,420,2374
0x4057e5,91.4689%,924,9907,10831,7793,433,491,2114
0x4058e5,90.8981%,907,9058,9965,7511,448,459,1547
0x40754b,99.1814%,906,109771,110677,109755,231,675,16
0x410083,97.8909%,898,41680,42578,14931,474,424,26749
0x405fde,95.7292%,882,19770,20652,10293,354,528,9477
0x40d1cc,91.6203%,873,9545,10418,99,493,380,9446
0x410079,90.095%,865,7868,8733,2002,497,368,5866
0x40d428,93.9649%,862,13421,14283,184,586,276,13237
0x40850b,97.3621%,861,31778,32639,1133,576,285,30645
0x40b51c,80.1768%,852,3446,4298,600,360,492,2846
0x4101c0,97.8631%,848,38835,39683,53,557,291,38782
0x405df4,81.8911%,835,3776,4611,1526,480,355,2250
0x40c19f,89.7716%,833,7311,8144,135,485,348,7176
0x405d42,94.1878%,829,13434,14263,11680,323,506,1754
0x40d601,85.9232%,828,5054,5882,4847,478,350,207
