Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,87.5934%,2482472,17526801,20009273,9262127,897418,1585054,8264674
0x4164ea,85.0552%,126464,719744,846208,70384,94320,32144,649360
0x40cc3f,72.5397%,111733,295156,406889,195294,45429,66304,99862
0x41683b,49.9594%,93159,93008,186167,46994,46156,47003,46014
0x40bda5,78.6051%,79675,292726,372401,266558,13048,66627,26168
0x40bbbf,56.2639%,77471,99662,177133,62767,27386,50085,36895
0x40cf70,66.4796%,75696,150125,225821,139282,10380,65316,10843
0x40f6e4,60.8628%,69132,107508,176640,74412,24326,44806,33096
0x40c966,63.4435%,65619,113881,179500,52289,35342,30277,61592
0x40f70f,64.9774%,61864,114776,176640,105380,8793,53071,9396
0x40bbb6,80.1554%,57501,232255,289756,78244,34379,23122,154011
0x40971d,79.4453%,56031,216564,272595,164002,20128,35903,52562
0x416416,69.8028%,52972,122448,175420,99565,17943,35029,22883
0x40f73a,70.2038%,52632,124008,176640,115651,8384,44248,8357
0x40f765,72.4926%,48589,128051,176640,120848,6492,42097,7203
0x40cdd3,85.2005%,44096,253860,297956,211012,7465,36631,42848
0x40cfb4,73.2691%,42754,117188,159942,112277,7108,35646,4911
0x41651f,77.6155%,39540,137100,176640,121390,5776,33764,15710
0x409544,74.8438%,38097,113345,151442,8444,26877,11220,104901
0x416298,67.8051%,37999,80029,118028,16590,28249,9750,63439
0x416558,78.8715%,37688,140687,178375,110353,10479,27209,30334
0x40bcb7,87.3749%,36582,253174,289756,209561,7756,28826,43613
0x40b796,73.589%,35170,97994,133164,37578,20344,14826,60416
0x40b734,74.7665%,33602,99562,133164,93920,9587,24015,5642
0x40cff1,75.5389%,31294,96640,127934,91107,6513,24781,5533
0x40b676,76.9187%,30736,102428,133164,98039,3580,27156,4389
0x40b6d4,77.2874%,30245,102919,133164,100307,3003,27242,2612
0x402e0b,68.1818%,29520,63257,92777,23641,14582,14938,39616
0x40b5f6,77.8634%,29478,103686,133164,95585,5594,23884,8101
0x40ccb5,86.6679%,28567,185705,214272,180959,4503,24064,4746
0x40bc9b,62.6666%,28037,47062,75099,18115,14149,13888,28947
0x40be17,72.1892%,25807,66988,92795,58582,6816,18991,8406
0x40f088,66.2957%,25106,49383,74489,37106,9986,15120,12277
0x40f024,66.9334%,24631,49858,74489,40531,6310,18321,9327
0x409489,68.9018%,23421,51892,75313,3101,16875,6546,48791
0x40eff2,68.6934%,23320,51169,74489,37347,9610,13710,13822
0x40ef5c,68.9901%,23099,51390,74489,46847,5081,18018,4543
0x40cc72,76.4832%,22645,73648,96293,34986,6181,16464,38662
0x40d02e,78.6378%,22479,82749,105228,80382,2759,19720,2367
0x40ef8e,71.671%,21102,53387,74489,41809,6305,14797,11578
0x40f056,72.8121%,20252,54237,74489,45439,5592,14660,8798
0x40cded,75.2564%,19666,59813,79479,58660,2471,17195,1153
0x40f0ba,73.8418%,19485,55004,74489,42837,7387,12098,12167
0x40efc0,73.9559%,19400,55089,74489,46656,4659,14741,8433
0x40ccf3,90.2514%,18080,167382,185462,131677,4514,13566,35705
0x4096b4,69.2889%,16611,37477,54088,5252,10785,5826,32225
0x4094d0,78.6279%,16096,59217,75313,2375,13008,3088,56842
0x402e1a,70.6328%,16021,38533,54554,35753,3290,12731,2780
0x4094ed,67.4998%,15577,32352,47929,29772,4623,10954,2580
0x40ceec,94.9919%,14922,283034,297956,219106,4361,10561,63928
0x40caeb,67.278%,14684,30191,44875,21892,4635,10049,8299
0x41136c,85.8015%,14166,85605,99771,47264,4885,9281,38341
0x40cf7a,81.5019%,14088,62071,76159,61030,2937,11151,1041
0x416578,75.9415%,13844,43699,57543,23283,4178,9666,20416
0x41ddeb,76.2382%,13496,43301,56797,29065,6135,7361,14236
0x41de07,76.1762%,13470,43070,56540,28952,5584,7886,14118
0x40b69d,86.5487%,13419,86341,99760,2708,8861,4558,83633
