Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.0483%,237755,24745387,24983142,15383698,88877,148878,9361689
0x411cdb,96.7308%,33267,984311,1017578,919040,10934,22333,65271
0x411480,96.838%,30578,936467,967045,831627,10400,20178,104840
0x41104e,95.9988%,25166,603796,628962,506365,8129,17037,97431
0x4120ef,96.9088%,23433,734616,758049,699497,6950,16483,35119
0x41321e,97.7169%,14360,614603,628963,554352,4726,9634,60251
0x412d38,98.3881%,12219,745830,758049,665691,4754,7465,80139
0x4130f0,98.7765%,11832,955214,967046,847613,4964,6868,107601
0x412633,96.6856%,11756,342936,354692,60307,6832,4924,282629
0x410794,96.9179%,11493,361403,372896,302230,5371,6122,59173
0x4118ce,97.1739%,10530,362062,372592,252128,3238,7292,109934
0x410341,95.522%,8487,181038,189525,38708,4348,4139,142330
0x412e6e,99.1797%,8347,1009231,1017578,896773,3579,4768,112458
0x412fb0,97.8923%,7853,364739,372592,244891,2683,5170,119848
0x4123df,86.8435%,6789,44813,51602,26540,3414,3375,18273
0x410c08,96.9275%,6337,199910,206247,134314,2048,4289,65596
0x4134a1,99.163%,3121,369775,372896,328532,1308,1813,41243
0x413360,98.5256%,3041,203206,206247,139780,1172,1869,63426
0x4135e8,99.514%,921,188604,189525,167623,449,472,20981
0x41108f,99.5387%,528,113940,114468,11403,234,294,102537
0x412660,99.5358%,392,84057,84449,79163,89,303,4894
0x412629,99.6159%,357,92593,92950,17141,169,188,75452
0x4114c1,99.724%,345,124673,125018,13701,152,193,110972
0x41115f,99.7667%,267,114201,114468,27672,136,131,86529
0x410fb4,99.6666%,233,69652,69885,18572,153,80,51080
0x410edd,99.6737%,228,69657,69885,11656,111,117,58001
0x41158a,99.828%,215,124803,125018,42170,119,96,82633
0x411309,99.8305%,194,114275,114469,11532,105,89,102743
0x41175c,99.8255%,194,110971,111165,110817,64,130,154
0x410c59,99.7267%,191,69694,69885,11675,92,99,58019
0x411196,99.3347%,185,27623,27808,7775,121,64,19848
0x41212f,99.631%,173,46710,46883,46140,42,131,570
0x411dc7,99.8196%,158,87446,87604,27935,67,91,59511
0x41223d,99.719%,145,51457,51602,18639,57,88,32818
0x4113c4,99.8786%,139,114330,114469,27699,110,29,86631
0x412645,99.9524%,137,287416,287553,8437,64,73,278979
0x410a85,99.804%,128,65167,65295,4462,41,87,60705
0x411814,99.9032%,121,124898,125019,42238,52,69,82660
0x411f7a,99.859%,117,82871,82988,82382,24,93,489
0x411d18,99.8626%,114,82874,82988,82365,41,73,509
0x4119ca,99.9036%,113,117113,117226,34498,54,59,82615
0x4110ab,99.893%,110,102721,102831,102573,29,81,148
0x411740,99.9264%,92,124926,125018,13785,68,24,111141
0x412024,99.9007%,87,87517,87604,27944,58,29,59573
0x4103c4,99.7684%,86,37045,37131,37026,15,71,19
0x4114dd,99.9235%,85,111080,111165,110864,17,68,216
0x4108ba,99.879%,79,65216,65295,15836,41,38,49380
0x41322c,99.5834%,78,18647,18725,5963,36,42,12684
0x411b94,99.9246%,78,103421,103499,103165,26,52,256
0x4106ec,99.8258%,75,42981,43056,14536,19,56,28445
0x412fbe,99.825%,74,42216,42290,7843,54,20,34373
0x411907,99.9377%,73,117153,117226,13689,38,35,103464
0x411a06,99.7887%,73,34479,34552,3700,30,43,30779
0x411c44,99.9377%,73,117153,117226,34531,21,52,82622
0x411923,99.9304%,72,103427,103499,103174,17,55,253
0x411cfc,99.9201%,70,87534,87604,4578,38,32,82956
0x4107ed,99.8974%,67,65228,65295,4469,34,33,60759
0x412d46,99.7643%,66,27936,28002,3893,42,24,24043
0x410629,99.856%,62,42994,43056,5895,30,32,37099
0x411325,99.9426%,59,102773,102832,102578,25,34,195
0x411b78,99.9531%,55,117171,117226,13695,32,23,103476
0x411f5e,99.9418%,51,87553,87604,4601,15,36,82952
0x41336e,99.6788%,51,15826,15877,11558,3,48,4268
0x412113,99.905%,49,51553,51602,4702,17,32,46851
0x41295a,99.8398%,48,29906,29954,16128,10,38,13778
0x410c75,99.9191%,47,58071,58118,58008,8,39,63
0x410ef9,99.9209%,46,58072,58118,58005,11,35,67
0x412276,99.7593%,45,18651,18696,4634,38,7,14017
0x41309e,99.9574%,44,103135,103179,68760,26,18,34375
0x411ffe,99.9831%,42,248340,248382,165364,30,12,82976
0x41155e,99.9886%,38,333173,333211,222027,19,19,111146
0x410cee,99.9793%,36,174214,174250,116123,10,26,58091
0x4134b7,99.7939%,30,14525,14555,9925,3,27,4600
0x412b00,99.9419%,30,51572,51602,4704,15,15,46868
0x410809,99.9507%,30,60762,60792,60668,22,8,94
0x41124a,99.9515%,29,59707,59736,0,0,29,59707
0x4128a0,99.9008%,28,28184,28212,27644,3,25,540
0x410aa1,99.9572%,26,60766,60792,60684,6,20,82
0x412e1d,99.982%,26,144376,144402,72196,5,21,72180
0x4116c2,99.9748%,26,103153,103179,68771,15,11,34382
0x411d8e,99.9899%,25,248357,248382,165385,9,16,82972
0x4103a8,99.9419%,25,43031,43056,5918,7,18,37113
0x4117ee,99.9928%,24,333190,333214,222038,10,14,111152
0x410cca,99.9587%,24,58094,58118,0,0,24,58094
0x41241f,99.9185%,23,28189,28212,27632,15,8,557
0x41199e,99.9926%,23,310166,310189,206674,16,7,103492
0x412884,99.9266%,22,29932,29954,1742,0,22,28190
0x411aed,99.9886%,21,184911,184932,92463,3,18,92448
0x412a5f,99.9427%,21,36645,36666,24429,15,6,12216
0x4116ad,99.9898%,21,206337,206358,103163,16,5,103174
0x410473,99.9512%,21,43035,43056,14551,4,17,28484
0x4106ce,99.982%,20,111283,111303,74159,13,7,37124
0x410b54,99.9709%,19,65276,65295,15870,7,12,49406
0x412a20,99.9482%,19,36647,36666,0,0,19,36647
0x411eba,99.9737%,19,72182,72201,0,0,19,72182
0x410dc1,99.9502%,19,38159,38178,38159,19,0,0
0x411fdd,99.9771%,19,82969,82988,0,0,19,82969
0x411edd,99.9875%,18,144384,144402,72196,5,13,72188
0x412a4e,99.9755%,18,73314,73332,36657,9,9,36657
0x411631,99.9826%,18,103161,103179,103161,18,0,0
0x41088e,99.9901%,18,182256,182274,121477,5,13,60779
0x410d1a,99.9742%,18,69866,69884,18717,7,11,51149
0x41308d,99.9918%,17,206341,206358,103167,12,5,103174
0x410a16,99.974%,17,65278,65295,65278,17,0,0
0x411a71,99.9816%,17,92449,92466,92449,17,0,0
0x4125f2,99.9536%,17,36649,36666,24439,5,12,12210
0x411eee,99.9765%,17,72184,72201,48128,6,11,24056
0x411d6a,99.9795%,17,82971,82988,0,0,17,82971
0x41292e,99.9798%,17,84054,84071,55854,5,12,28200
0x4132fd,99.979%,16,76340,76356,38171,7,9,38169
0x412b1c,99.9659%,16,46867,46883,46169,13,3,698
0x412ccd,99.981%,16,84128,84144,42057,15,1,42071
0x41343d,99.9382%,16,25880,25896,12937,11,5,12943
0x412cde,99.9643%,15,42057,42072,28033,15,0,14024
0x410e52,99.9607%,15,38163,38178,25444,8,7,12719
0x4131cd,99.9874%,15,119457,119472,59727,9,6,59730
0x410e76,99.9785%,15,69869,69884,69869,15,0,0
0x410f8e,99.992%,14,174238,174252,116130,4,10,58108
0x411e06,99.95%,14,27988,28002,3933,2,12,24055
0x412df6,99.9806%,14,72187,72201,0,0,14,72187
0x41127e,99.9766%,14,59722,59736,39819,5,9,19903
0x412bcc,99.9748%,13,51589,51602,18690,6,7,32899
0x41069d,99.965%,13,37118,37131,0,0,13,37118
0x41126d,99.9891%,13,119459,119472,59728,8,5,59731
0x412f4d,99.9935%,12,184920,184932,92460,6,6,92460
0x41056d,99.9136%,12,13869,13881,0,0,12,13869
0x412372,99.9715%,12,42060,42072,28039,9,3,14021
0x412403,99.9599%,12,29942,29954,1738,4,8,28204
0x41197a,99.9884%,12,103487,103499,0,0,12,103487
0x40ff91,99.9441%,12,21441,21453,0,0,12,21441
0x4104b6,99.9176%,12,14543,14555,9918,10,2,4625
0x411680,99.9893%,11,103168,103179,0,0,11,103168
0x41137f,99.9893%,11,102821,102832,0,0,11,102821
0x4125b0,99.97%,11,36655,36666,0,0,11,36655
0x4115c6,99.974%,11,42278,42289,7891,5,6,34387
0x410645,99.9704%,11,37120,37131,37030,11,0,90
0x41139e,99.9964%,11,308256,308267,205425,10,1,102831
0x41249e,99.9869%,11,84060,84071,55855,4,7,28205
0x410e3d,99.9856%,11,76345,76356,38173,5,6,38172
0x41218a,99.9787%,10,46873,46883,0,0,10,46873
0x410d56,99.9466%,10,18714,18724,5993,5,5,12721
0x41043e,99.9919%,9,111294,111303,74168,4,5,37126
0x412ca6,99.9786%,9,42063,42072,0,0,9,42063
0x411f12,99.9897%,9,87595,87604,87595,9,0,0
0x412b7d,99.9808%,9,46874,46883,0,0,9,46874
0x411b29,99.9932%,8,117218,117226,117218,8,0,0
0x4131ac,99.9866%,8,59728,59736,0,0,8,59728
0x4124bf,99.9733%,8,29946,29954,16135,3,5,13811
0x412f2c,99.9913%,8,92458,92466,0,0,8,92458
0x4121ae,99.9943%,8,139940,139948,93060,5,3,46880
0x41110a,99.9922%,8,102823,102831,0,0,8,102823
0x413011,99.9922%,8,103171,103179,103171,8,0,0
0x411bef,99.9923%,8,103491,103499,0,0,8,103491
0x411c1e,99.9974%,8,310181,310189,206689,1,7,103492
0x4130fe,99.9748%,7,27802,27809,7896,1,6,19906
0x41153a,99.9937%,7,111158,111165,0,0,7,111158
0x410f62,99.988%,7,58111,58118,0,0,7,58111
0x4131de,99.9883%,7,59729,59736,39819,5,2,19910
0x41306c,99.9932%,7,103172,103179,0,0,7,103172
0x412bae,99.995%,7,139941,139948,93060,5,2,46881
0x412330,99.9857%,6,42066,42072,0,0,6,42066
0x4132d8,99.9843%,6,38172,38178,0,0,6,38172
0x411b02,99.9935%,6,92460,92466,61639,5,1,30821
0x412da1,99.9917%,6,72195,72201,72195,6,0,0
0x41112e,99.9981%,6,308258,308264,205433,0,6,102825
0x41358d,99.9784%,6,27756,27762,13876,5,1,13880
0x41235d,99.9929%,6,84138,84144,42070,2,4,42068
0x4117bf,99.9955%,5,111160,111165,0,0,5,111160
0x413281,99.9869%,5,38173,38178,38173,5,0,0
0x4116e9,99.996%,5,125013,125018,125013,5,0,0
0x412853,99.9767%,5,21448,21453,0,0,5,21448
0x412ac8,99.9903%,5,51597,51602,0,0,5,51597
0x412f5e,99.9946%,5,92461,92466,61640,4,1,30821
0x4117ab,98.2394%,5,279,284,0,0,5,279
0x412832,99.9833%,5,29949,29954,8500,1,4,21449
0x4105c3,99.9884%,5,43051,43056,43051,5,0,0
0x413511,99.9712%,4,13877,13881,13877,4,0,0
0x41247a,99.9858%,4,28208,28212,0,0,4,28208
0x411ac0,99.9957%,4,92462,92466,0,0,4,92462
0x4129d1,99.9891%,4,36662,36666,36662,4,0,0
0x41058d,99.9856%,4,27758,27762,13879,2,2,13879
0x4112a5,99.9965%,4,114464,114468,114464,4,0,0
0x41267d,99.9866%,4,29950,29954,29950,4,0,0
0x410504,99.9712%,4,13877,13881,13877,4,0,0
0x412e7c,99.9884%,4,34548,34552,3729,1,3,30819
0x4108f6,99.9811%,3,15874,15877,11558,3,0,4316
0x41059e,99.9784%,3,13878,13881,9253,1,2,4625
0x4109dd,99.9884%,3,25893,25896,12947,1,2,12946
0x4125dd,99.9959%,3,73329,73332,36666,0,3,36663
0x413418,99.9768%,3,12945,12948,0,0,3,12945
0x412903,99.9894%,3,28209,28212,0,0,3,28209
0x412ed1,99.9968%,3,92463,92466,92463,3,0,0
0x41344e,99.9768%,3,12945,12948,8630,2,1,4315
0x41330e,99.9948%,2,38176,38178,25452,0,2,12724
0x411d56,99.6564%,2,580,582,0,0,2,580
0x4109b0,99.9846%,2,12946,12948,0,0,2,12946
0x4109f2,99.9846%,2,12946,12948,8632,0,2,4314
0x4124f6,99.9876%,2,16136,16138,3916,0,2,12220
0x410b2e,99.9989%,2,182272,182274,121481,1,1,60791
0x410e10,99.9948%,2,38176,38178,0,0,2,38176
0x4133c1,99.9846%,2,12946,12948,12946,2,0,0
0x41086a,99.9967%,2,60790,60792,0,0,2,60790
0x41041a,99.9946%,2,37129,37131,0,0,2,37129
0x4122e1,99.9952%,2,42070,42072,42070,2,0,0
0x412e2e,99.9972%,2,72199,72201,48133,1,1,24066
0x41298f,99.9876%,2,16136,16138,3915,1,1,12221
0x412c00,99.9947%,1,18695,18696,4672,0,1,14023
0x41359e,99.9928%,1,13880,13881,9254,0,1,4626
0x412176,99.8573%,1,700,701,0,0,1,700
0x410f4b,99.0196%,1,101,102,0,0,1,101
0x410961,99.9923%,1,12947,12948,12947,1,0,0
0x4128ef,99.823%,1,564,565,0,0,1,564
0x411fc9,99.8282%,1,581,582,0,0,1,581
0x4110f6,100%,0,229,229,0,0,0,229
0x410cb6,100%,0,102,102,0,0,0,102
0x412466,100%,0,565,565,0,0,0,565
0x41260c,100%,0,29954,29954,16256,0,0,13698
0x410b02,100%,0,60792,60792,0,0,0,60792
0x412c51,100%,0,42072,42072,42072,0,0,0
0x410406,100%,0,90,90,0,0,0,90
0x413566,100%,0,13881,13881,0,0,0,13881
0x410856,100%,0,102,102,0,0,0,102
0x413151,100%,0,59736,59736,59736,0,0,0
0x411526,100%,0,284,284,0,0,0,284
0x412561,100%,0,36666,36666,36666,0,0,0
0x410689,100%,0,90,90,0,0,0,90
0x411966,100%,0,308,308,0,0,0,308
0x4111e1,100%,0,59736,59736,59736,0,0,0
0x410aeb,100%,0,102,102,0,0,0,102
0x411e51,100%,0,72201,72201,72201,0,0,0
0x41136b,100%,0,229,229,0,0,0,229
0x411bdb,100%,0,308,308,0,0,0,308
0x412b69,100%,0,701,701,0,0,0,701
