Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.986%,3514,25056875,25060389,12812571,3369,145,12244304
0x50bc93,93.3261%,3303,46188,49491,15345,3301,2,30843
0x4409b2,99.9674%,26,79846,79872,79714,2,24,132
0x50c775,99.979%,25,118755,118780,93526,9,16,25229
0x441eee,99.98%,16,79856,79872,79712,4,12,144
0x50c72e,99.9969%,11,350732,350743,85631,4,7,265101
0x44076c,99.9875%,10,79862,79872,79715,1,9,147
0x441f11,94.8718%,8,148,156,148,4,4,0
0x4409c9,95.5128%,7,149,156,149,3,4,0
0x440827,95.5128%,7,149,156,149,3,4,0
0x56adce,99.6032%,7,1757,1764,1735,1,6,22
0x50c511,99.9989%,6,567644,567650,448868,2,4,118776
0x440f49,99.4141%,6,1018,1024,1018,2,4,0
0x441d4e,99.6292%,6,1612,1618,1612,2,4,0
0x50b6da,99.9892%,5,46182,46187,32987,3,2,13195
0x441db9,99.7559%,5,2043,2048,2043,1,4,0
0x441e83,99.995%,4,79868,79872,77822,2,2,2046
0x531418,99.9941%,4,68036,68040,6597,3,1,61439
0x50c43d,99.9966%,4,118776,118780,36444,0,4,82332
0x50c456,99.9985%,4,269403,269407,6596,3,1,262807
0x56ad2c,99.9972%,4,141899,141903,9924,2,2,131975
0x50b689,99.9957%,3,70436,70439,2147,2,1,68289
0x50c5e3,99.9909%,3,32992,32995,15346,1,2,17646
0x50c5f4,99.9975%,3,118777,118780,38441,2,1,80336
0x50b67b,99.9995%,3,582156,582159,511719,1,2,70437
0x50c399,99.9651%,3,8593,8596,2147,2,1,6446
0x441cdb,99.9969%,2,64738,64740,63122,0,2,1616
0x53d7c7,99.9933%,2,29692,29694,19796,0,2,9896
0x50c604,99.999%,2,209013,209015,133126,1,1,75887
0x56ada5,99.9799%,2,9924,9926,9898,0,2,26
0x56ad48,99.9981%,2,104429,104431,95683,0,2,8746
0x50c56f,99.9962%,2,52638,52640,19644,1,1,32994
0x50c53e,99.9992%,1,118779,118780,26395,1,0,92384
0x533598,99.9985%,1,64739,64740,64739,1,0,0
0x57a362,99.9993%,1,138580,138581,0,0,1,138580
0x50c55d,99.9988%,1,85784,85785,33145,0,1,52639
0x57a358,99.9993%,1,138580,138581,0,0,1,138580
0x50bec3,99.9984%,1,63391,63392,54643,0,1,8748
0x57a2f6,99.9993%,1,138580,138581,138580,1,0,0
0x50c462,99.9996%,1,262807,262808,49491,1,0,213316
0x50c495,99.9992%,1,118779,118780,52790,1,0,65989
0x50b71c,99.9986%,1,70438,70439,63841,0,1,6597
0x533325,99.9985%,1,64739,64740,0,0,1,64739
0x50b60e,99.9986%,1,70438,70439,2148,1,0,68290
0x50c5db,99.9993%,1,138578,138579,105584,0,1,32994
0x50b6c7,99.9986%,1,70438,70439,57242,0,1,13196
0x5332fa,99.9985%,1,64739,64740,0,0,1,64739
0x56ad32,99.9992%,1,131976,131977,27546,0,1,104430
0x4420a4,75%,1,3,4,3,1,0,0
0x50c1cf,99.9848%,1,6597,6598,4449,0,1,2148
0x50bd93,99.9987%,1,79175,79176,69279,0,1,9896
0x50b87c,100%,0,151800,151800,145200,0,0,6600
0x50be64,100%,0,8749,8749,0,0,0,8749
0x5091b0,100%,0,64740,64740,64740,0,0,0
0x531265,100%,0,68040,68040,68040,0,0,0
0x50bed8,100%,0,8749,8749,0,0,0,8749
0x50bf18,100%,0,24098,24098,15349,0,0,8749
0x53300a,100%,0,64740,64740,0,0,0,64740
0x533030,100%,0,64740,64740,0,0,0,64740
0x50bf1d,100%,0,8749,8749,0,0,0,8749
0x50c824,100%,0,92390,92390,0,0,0,92390
0x50bb55,100%,0,9900,9900,3300,0,0,6600
0x50c82c,100%,0,92390,92390,0,0,0,92390
0x533a6c,100%,0,3300,3300,0,0,0,3300
0x50c841,100%,0,92390,92390,0,0,0,92390
0x50c5b5,100%,0,32995,32995,0,0,0,32995
0x50c857,100%,0,92390,92390,92390,0,0,0
0x53d524,100%,0,3300,3300,3300,0,0,0
0x533339,100%,0,64740,64740,64740,0,0,0
0x50c883,100%,0,92390,92390,0,0,0,92390
0x50c89c,100%,0,277170,277170,184780,0,0,92390
0x50b84d,100%,0,6600,6600,0,0,0,6600
0x50c8bd,100%,0,277170,277170,0,0,0,277170
0x50b6e9,100%,0,70439,70439,0,0,0,70439
0x533f7c,100%,0,3300,3300,0,0,0,3300
0x50bded,100%,0,9897,9897,0,0,0,9897
0x53332b,100%,0,64740,64740,0,0,0,64740
0x50c1fb,100%,0,2149,2149,0,0,0,2149
0x50b618,100%,0,68290,68290,34146,0,0,34144
0x53381d,100%,0,3300,3300,3300,0,0,0
0x50c581,100%,0,32995,32995,9898,0,0,23097
0x50b710,100%,0,728642,728642,658203,0,0,70439
0x576953,100%,0,39593,39593,39593,0,0,0
0x5337be,100%,0,3300,3300,0,0,0,3300
0x57b1ba,100%,0,138581,138581,138581,0,0,0
0x4409f8,100%,0,4,4,0,0,0,4
0x50ca30,100%,0,9898,9898,9898,0,0,0
0x50c6b5,100%,0,950237,950237,118780,0,0,831457
0x533129,100%,0,64740,64740,64740,0,0,0
0x53d845,100%,0,46195,46195,46195,0,0,0
0x5769ee,100%,0,39593,39593,0,0,0,39593
0x53d3a5,100%,0,3300,3300,3300,0,0,0
0x533788,100%,0,3300,3300,3300,0,0,0
0x441de2,100%,0,4,4,0,0,0,4
0x50c71c,100%,0,118780,118780,85635,0,0,33145
0x533dab,100%,0,3300,3300,0,0,0,3300
0x50c7bb,100%,0,93535,93535,0,0,0,93535
0x50c8e9,100%,0,1201070,1201070,923900,0,0,277170
0x50ba3c,100%,0,6600,6600,6600,0,0,0
0x532fef,100%,0,64740,64740,0,0,0,64740
0x50b80f,100%,0,29695,29695,0,0,0,29695
0x50b829,100%,0,326645,326645,296950,0,0,29695
0x533024,100%,0,64740,64740,0,0,0,64740
0x50b844,100%,0,6600,6600,0,0,0,6600
0x576a58,100%,0,39593,39593,39593,0,0,0
0x50b862,100%,0,6600,6600,0,0,0,6600
0x53d806,100%,0,9899,9899,0,0,0,9899
0x50bda8,100%,0,9897,9897,0,0,0,9897
0x441a39,100%,0,64740,64740,0,0,0,64740
0x50b8f7,100%,0,6600,6600,0,0,0,6600
0x50b93c,100%,0,6600,6600,6600,0,0,0
0x53d827,100%,0,46195,46195,9899,0,0,36296
0x50c00a,100%,0,9898,9898,9898,0,0,0
0x50c593,100%,0,23097,23097,13198,0,0,9899
0x50c04f,100%,0,9898,9898,9898,0,0,0
0x50bca0,100%,0,19797,19797,19797,0,0,0
0x50c093,100%,0,9898,9898,9898,0,0,0
0x5336bd,100%,0,64740,64740,0,0,0,64740
0x535342,100%,0,3300,3300,3300,0,0,0
0x53d51e,100%,0,3300,3300,0,0,0,3300
0x441a01,100%,0,64740,64740,0,0,0,64740
0x5091f9,100%,0,64740,64740,64740,0,0,0
0x533dbb,100%,0,3300,3300,0,0,0,3300
0x576a42,100%,0,39593,39593,0,0,0,39593
0x5091a6,100%,0,64740,64740,0,0,0,64740
0x533355,100%,0,64740,64740,64740,0,0,0
0x50c90d,100%,0,277170,277170,184780,0,0,92390
0x50cddf,100%,0,29696,29696,9899,0,0,19797
0x441908,100%,0,64740,64740,0,0,0,64740
0x533363,100%,0,64740,64740,0,0,0,64740
0x50c916,100%,0,92390,92390,0,0,0,92390
0x50d126,100%,0,9898,9898,9898,0,0,0
0x533347,100%,0,64740,64740,64740,0,0,0
0x56adda,100%,0,27546,27546,27546,0,0,0
0x50c940,100%,0,831510,831510,92390,0,0,739120
0x533454,100%,0,64740,64740,64740,0,0,0
0x50c429,100%,0,118780,118780,0,0,0,118780
0x532fd2,100%,0,64740,64740,64740,0,0,0
0x4418c3,100%,0,64740,64740,0,0,0,64740
0x50c969,100%,0,1847800,1847800,1108680,0,0,739120
0x535002,100%,0,3300,3300,0,0,0,3300
0x44189d,100%,0,64740,64740,0,0,0,64740
0x50bc57,100%,0,49491,49491,49491,0,0,0
0x50c9ab,100%,0,92390,92390,26400,0,0,65990
0x53d68c,100%,0,85782,85782,75884,0,0,9898
0x50c9eb,100%,0,26400,26400,0,0,0,26400
0x533047,100%,0,64740,64740,0,0,0,64740
0x53d383,100%,0,3300,3300,0,0,0,3300
0x53d437,100%,0,3300,3300,3300,0,0,0
0x50bc99,100%,0,30845,30845,11048,0,0,19797
0x53d694,100%,0,9898,9898,0,0,0,9898
0x53d67e,100%,0,9898,9898,0,0,0,9898
0x53d6a0,100%,0,9898,9898,0,0,0,9898
0x50bb9e,100%,0,197968,197968,148476,0,0,49492
0x440518,100%,0,156,156,0,0,0,156
0x50bb40,100%,0,49492,49492,42892,0,0,6600
0x50bb10,100%,0,49492,49492,49492,0,0,0
0x50bad8,100%,0,49492,49492,49492,0,0,0
0x53521c,100%,0,3300,3300,3300,0,0,0
0x53d4aa,100%,0,3300,3300,0,0,0,3300
0x53d49d,100%,0,3300,3300,0,0,0,3300
0x53d476,100%,0,3300,3300,3300,0,0,0
0x50ca65,100%,0,9898,9898,0,0,0,9898
0x53d387,100%,0,3300,3300,0,0,0,3300
0x50bc1a,100%,0,49491,49491,49491,0,0,0
0x576999,100%,0,39593,39593,0,0,0,39593
0x57692c,100%,0,39593,39593,39593,0,0,0
0x50c38a,100%,0,8596,8596,0,0,0,8596
0x50bcf5,100%,0,18646,18646,8749,0,0,9897
0x50c815,100%,0,92390,92390,0,0,0,92390
0x533a21,100%,0,3300,3300,0,0,0,3300
0x5769aa,100%,0,39593,39593,39593,0,0,0
0x50d166,100%,0,29696,29696,29696,0,0,0
0x50bf22,100%,0,8749,8749,0,0,0,8749
0x576927,100%,0,39593,39593,39593,0,0,0
0x50bd37,100%,0,9897,9897,0,0,0,9897
0x50c1f2,100%,0,2149,2149,2149,0,0,0
0x440fa4,100%,0,4,4,4,0,0,0
0x440a28,100%,0,4,4,0,0,0,4
0x4408bb,100%,0,4,4,0,0,0,4
0x440845,100%,0,4,4,0,0,0,4
0x440401,100%,0,4,4,0,0,0,4
0x440368,100%,0,4,4,0,0,0,4
0x441e92,100%,0,2048,2048,0,0,0,2048
0x441e7a,100%,0,156,156,0,0,0,156
0x50bdf6,100%,0,9897,9897,0,0,0,9897
0x50c1db,100%,0,2149,2149,0,0,0,2149
0x50bde8,100%,0,19794,19794,9897,0,0,9897
0x44158a,100%,0,1618,1618,0,0,0,1618
0x441919,100%,0,64740,64740,0,0,0,64740
0x50bcfb,100%,0,9897,9897,9897,0,0,0
0x535073,100%,0,6598,6598,3299,0,0,3299
0x50cd3b,100%,0,9898,9898,0,0,0,9898
0x50cd05,100%,0,39592,39592,29694,0,0,9898
0x50ccd1,100%,0,9898,9898,0,0,0,9898
0x50ccbf,100%,0,9898,9898,0,0,0,9898
0x50cc53,100%,0,9898,9898,9898,0,0,0
0x50cb64,100%,0,188062,188062,178164,0,0,9898
0x50cb47,100%,0,9898,9898,0,0,0,9898
0x50cbfb,100%,0,9898,9898,0,0,0,9898
