Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,90.9852%,1907028,19247296,21154324,9808836,771731,1135297,9438460
0x40e097,89.131%,212831,1745324,1958155,1677933,35464,177367,67391
0x40dc85,84.4531%,190255,1033491,1223746,864580,74951,115304,168911
0x40dcd3,64.0132%,150735,268127,418862,140729,72865,77870,127398
0x41348c,63.8782%,144320,255217,399537,99593,82380,61940,155624
0x40e09f,69.5819%,108449,248079,356528,133192,53607,54842,114887
0x40dc48,78.0804%,92233,328546,420779,85539,49108,43125,243007
0x40dd12,80.6193%,81163,337620,418783,324649,9878,71285,12971
0x40e06b,81.6726%,76063,338961,415024,68734,43036,33027,270227
0x413463,83.1933%,67149,332388,399537,251354,20514,46635,81034
0x40d87e,70.0012%,64655,150870,215525,62593,33302,31353,88277
0x4138a7,75.9206%,52388,165176,217564,104620,25241,27147,60556
0x40f3f7,90.4999%,42493,404795,447288,396012,6714,35779,8783
0x4134df,84.7376%,40329,223909,264238,212505,4916,35413,11404
0x4133ac,90.9242%,36261,363276,399537,309288,15145,21116,53988
0x41213b,64.5469%,33428,60860,94288,55905,4996,28432,4955
0x413116,62.1906%,33160,54543,87703,50757,4321,28839,3786
0x412447,66.8484%,31258,63030,94288,56520,6387,24871,6510
0x4132d2,57.4515%,29895,40366,70261,25717,12331,17564,14649
0x40dc98,90.7553%,26452,259680,286132,167263,10624,15828,92417
0x412969,93.2176%,25580,351572,377152,315259,1870,23710,36313
0x40d823,76.0642%,23818,75690,99508,7622,17944,5874,68068
0x40e0ea,93.3204%,23805,332581,356386,326637,4000,19805,5944
0x41299b,62.8176%,23603,39876,63479,10548,15200,8403,29328
0x40e083,98.9434%,21307,1995344,2016651,38038,20458,849,1957306
0x4124e1,77.9951%,20748,73540,94288,47809,10167,10581,25731
0x40f53e,95.5501%,19904,427384,447288,418131,2096,17808,9253
0x40d7ed,80.6538%,19251,80257,99508,1053,17818,1433,79204
0x412979,68.0522%,19176,40847,60023,25770,8499,10677,15077
0x40f407,63.2063%,16396,28166,44562,1062,14274,2122,27104
0x40dbe4,87.5621%,12313,86683,98996,3722,9021,3292,82961
0x41331b,89.9271%,10605,94678,105283,10784,6796,3809,83894
0x40ed1c,66.4905%,9068,17993,27061,1366,8214,854,16627
0x412c2b,79.6302%,7953,31090,39043,22991,2660,5293,8099
0x4133ca,97.557%,7926,316507,324433,11091,7163,763,305416
0x410177,80.5516%,6988,28943,35931,21757,2855,4133,7186
0x40d837,90.6927%,6882,67060,73942,1207,5704,1178,65853
0x41214f,81.3788%,5821,25439,31260,364,5390,431,25075
0x411f39,61.4847%,5344,8531,13875,7449,976,4368,1082
0x41261e,84.4985%,5264,28694,33958,28302,357,4907,392
0x4130f4,94.7066%,4991,89297,94288,3086,3499,1492,86211
0x40fe98,69.0351%,4711,10503,15214,3197,2450,2261,7306
0x410181,67.2981%,4005,8242,12247,3747,1902,2103,4495
0x4121a1,93.6873%,3760,55802,59562,54591,624,3136,1211
0x4110ce,86.1646%,3744,23317,27061,20649,1194,2550,2668
0x412bd9,95.3627%,2944,60541,63485,36667,1064,1880,23874
0x41366d,64.3214%,2860,5156,8016,4163,928,1932,993
0x41002c,81.3209%,2817,12264,15081,11772,475,2342,492
0x412bb4,95.8494%,2635,60850,63485,57771,730,1905,3079
0x40e2ec,96.9521%,2590,82387,84977,82371,175,2415,16
0x413961,89.6723%,2502,21724,24226,21605,238,2264,119
0x40b207,94.581%,2472,43145,45617,31,2359,113,43114
0x40ee73,74.6451%,2429,7151,9580,4678,1231,1198,2473
0x40ed56,86.2479%,2404,15077,17481,14848,366,2038,229
0x412143,93.1231%,2296,31091,33387,23,2104,192,31068
0x4102ad,87.921%,2062,15009,17071,2437,1616,446,12572
0x4137bc,76.6337%,2031,6661,8692,5313,517,1514,1348
0x4110e7,66.4431%,1751,3467,5218,3361,275,1476,106
0x411f45,68.789%,1701,3749,5450,2490,582,1119,1259
0x4130bd,99.5612%,1655,375497,377152,282243,621,1034,93254
0x40dc75,99.8763%,1516,1224147,1225663,566,1351,165,1223581
0x412096,98.4123%,1497,92791,94288,92790,86,1411,1
0x411e72,89.9532%,1394,12481,13875,10259,778,616,2222
0x4121cd,72.0017%,1291,3320,4611,2342,581,710,978
0x40f0b8,86.7432%,1270,8310,9580,1263,557,713,7047
0x411c5c,66.6217%,1238,2471,3709,1370,461,777,1101
0x4105c9,93.0877%,1180,15891,17071,5,1132,48,15886
0x412af2,95.492%,1161,24593,25754,20098,378,783,4495
0x41011f,90.9692%,1106,11141,12247,92,836,270,11049
0x4100c5,61.1856%,1100,1734,2834,587,556,544,1147
0x413837,86.3398%,1095,6921,8016,3859,193,902,3062
